Round Number,Date,Location,Home Team,Away Team,Result
33,19/07/2020 21:00,Eryaman Stadium,Ankaragücü,Antalyaspor,0 - 1
33,19/07/2020 21:00,Sivas Stadium,Sivasspor,Gençlerbirligi,2 - 0
33,19/07/2020 21:00,Vodafone Park,Besiktas,Fenerbahçe,2 - 0
33,19/07/2020 21:00,Fatih Terim Stadium,Istanbul Basaksehir,Kayserispor,1 - 0
33,19/07/2020 21:00,Bahçesehir Okullari Stadium,Alanyaspor,Denizlispor,1 - 0
34,24/07/2020 21:00,Antalya Arena,Antalyaspor,Galatasaray,2 - 2
34,25/07/2020 21:00,Doganlar Stadium,Göztepe,Sivasspor,3 - 1
34,25/07/2020 21:00,Eryaman Stadium,Gençlerbirligi,Besiktas,0 - 3
34,25/07/2020 21:00,Denizli Atatürk Stadium,Denizlispor,Ankaragücü,0 - 1
34,25/07/2020 21:00,Konya Büyüksehir Stadium,Konyaspor,Alanyaspor,2 - 3
34,25/07/2020 21:00,Kadir Has Stadium,Kayserispor,Trabzonspor,1 - 2
34,25/07/2020 21:00,Malatya Arena,Yeni Malatyaspor,Gazisehir Gaziantep,0 - 1
34,25/07/2020 21:00,Sükrü Saracoglu Stadium,Fenerbahçe,Çaykur Rizespor,3 - 1
34,26/07/2020 17:00,Kasimpasa Stadium,Kasimpasa,Istanbul Basaksehir,3 - 2
