Round Number,Date,Location,Home Team,Away Team,Result
31,21/03/2021 16:00,Senol Günes Stadium,Trabzonspor,Ankaragücü,
31,21/03/2021 16:00,Gürsel Aksel Stadium,Göztepe,Sivasspor,
31,21/03/2021 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Kayserispor,
31,21/03/2021 16:00,Konya Büyüksehir Stadium,Konyaspor,Alanyaspor,
31,21/03/2021 16:00,Eryaman Stadium,Gençlerbirligi,Kasimpasa,
31,21/03/2021 16:00,Vodafone Park,Besiktas,Fenerbahçe,
31,21/03/2021 16:00,Denizli Atatürk Stadium,Denizlispor,Istanbul Basaksehir,
31,21/03/2021 16:00,Malatya Stadium,Yeni Malatyaspor,Gaziantep F.K.,
32,04/04/2021 16:00,Kazim Karabekir Stadium,BB Erzurumspor,Konyaspor,
32,04/04/2021 16:00,Eryaman Stadium,Ankaragücü,Antalyaspor,
32,04/04/2021 16:00,4 Eylül Stadium,Sivasspor,Trabzonspor,
32,04/04/2021 16:00,Kadir Has Stadium,Kayserispor,Göztepe,
32,04/04/2021 16:00,Yeni Rize Sehir Stadium,Çaykur Rizespor,Fatih Karagümrük,
32,04/04/2021 16:00,Antakya Atatürk Stadium,Hatayspor,Galatasaray,
32,04/04/2021 16:00,Bahçesehir Okullari Stadium,Alanyaspor,Gençlerbirligi,
32,04/04/2021 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Besiktas,
32,04/04/2021 16:00,Sükrü Saracoglu Stadium,Fenerbahçe,Denizlispor,
32,04/04/2021 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Yeni Malatyaspor,
33,07/04/2021 16:00,Eryaman Stadium,Gençlerbirligi,BB Erzurumspor,
33,07/04/2021 16:00,Konya Büyüksehir Stadium,Konyaspor,Ankaragücü,
33,07/04/2021 16:00,Antalya Stadium,Antalyaspor,Sivasspor,
33,07/04/2021 16:00,Senol Günes Stadium,Trabzonspor,Kayserispor,
33,07/04/2021 16:00,Gürsel Aksel Stadium,Göztepe,Çaykur Rizespor,
33,07/04/2021 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Hatayspor,
33,07/04/2021 16:00,Vodafone Park,Besiktas,Alanyaspor,
33,07/04/2021 16:00,Denizli Atatürk Stadium,Denizlispor,Kasimpasa,
33,07/04/2021 16:00,Malatya Stadium,Yeni Malatyaspor,Fenerbahçe,
33,07/04/2021 16:00,Gaziantep Arena,Gaziantep F.K.,Istanbul Basaksehir,
34,11/04/2021 16:00,Türk Telekom Stadium,Galatasaray,Fatih Karagümrük,
34,11/04/2021 16:00,Kazim Karabekir Stadium,BB Erzurumspor,Besiktas,
34,11/04/2021 16:00,Eryaman Stadium,Ankaragücü,Gençlerbirligi,
34,11/04/2021 16:00,4 Eylül Stadium,Sivasspor,Konyaspor,
34,11/04/2021 16:00,Kadir Has Stadium,Kayserispor,Antalyaspor,
34,11/04/2021 16:00,Yeni Rize Sehir Stadium,Çaykur Rizespor,Trabzonspor,
34,11/04/2021 16:00,Antakya Atatürk Stadium,Hatayspor,Göztepe,
34,11/04/2021 16:00,Bahçesehir Okullari Stadium,Alanyaspor,Denizlispor,
34,11/04/2021 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Yeni Malatyaspor,
34,11/04/2021 16:00,Sükrü Saracoglu Stadium,Fenerbahçe,Gaziantep F.K.,
35,18/04/2021 16:00,Denizli Atatürk Stadium,Denizlispor,BB Erzurumspor,
35,18/04/2021 16:00,Vodafone Park,Besiktas,Ankaragücü,
35,18/04/2021 16:00,Eryaman Stadium,Gençlerbirligi,Sivasspor,
35,18/04/2021 16:00,Konya Büyüksehir Stadium,Konyaspor,Kayserispor,
35,18/04/2021 16:00,Antalya Stadium,Antalyaspor,Çaykur Rizespor,
35,18/04/2021 16:00,Senol Günes Stadium,Trabzonspor,Hatayspor,
35,18/04/2021 16:00,Gürsel Aksel Stadium,Göztepe,Galatasaray,
35,18/04/2021 16:00,Malatya Stadium,Yeni Malatyaspor,Alanyaspor,
35,18/04/2021 16:00,Gaziantep Arena,Gaziantep F.K.,Kasimpasa,
35,18/04/2021 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Fenerbahçe,
36,21/04/2021 16:00,Türk Telekom Stadium,Galatasaray,Trabzonspor,
36,21/04/2021 16:00,Kazim Karabekir Stadium,BB Erzurumspor,Yeni Malatyaspor,
36,21/04/2021 16:00,Eryaman Stadium,Ankaragücü,Denizlispor,
36,21/04/2021 16:00,4 Eylül Stadium,Sivasspor,Besiktas,
36,21/04/2021 16:00,Kadir Has Stadium,Kayserispor,Gençlerbirligi,
36,21/04/2021 16:00,Yeni Rize Sehir Stadium,Çaykur Rizespor,Konyaspor,
36,21/04/2021 16:00,Antakya Atatürk Stadium,Hatayspor,Antalyaspor,
36,21/04/2021 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Göztepe,
36,21/04/2021 16:00,Bahçesehir Okullari Stadium,Alanyaspor,Gaziantep F.K.,
36,21/04/2021 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Istanbul Basaksehir,
37,25/04/2021 16:00,Gaziantep Arena,Gaziantep F.K.,BB Erzurumspor,
37,25/04/2021 16:00,Malatya Stadium,Yeni Malatyaspor,Ankaragücü,
37,25/04/2021 16:00,Denizli Atatürk Stadium,Denizlispor,Sivasspor,
37,25/04/2021 16:00,Vodafone Park,Besiktas,Kayserispor,
37,25/04/2021 16:00,Eryaman Stadium,Gençlerbirligi,Çaykur Rizespor,
37,25/04/2021 16:00,Konya Büyüksehir Stadium,Konyaspor,Hatayspor,
37,25/04/2021 16:00,Antalya Stadium,Antalyaspor,Galatasaray,
37,25/04/2021 16:00,Senol Günes Stadium,Trabzonspor,Fatih Karagümrük,
37,25/04/2021 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Alanyaspor,
37,25/04/2021 16:00,Sükrü Saracoglu Stadium,Fenerbahçe,Kasimpasa,
38,28/04/2021 16:00,Türk Telekom Stadium,Galatasaray,Konyaspor,
38,28/04/2021 16:00,Kazim Karabekir Stadium,BB Erzurumspor,Istanbul Basaksehir,
38,28/04/2021 16:00,Eryaman Stadium,Ankaragücü,Gaziantep F.K.,
38,28/04/2021 16:00,4 Eylül Stadium,Sivasspor,Yeni Malatyaspor,
38,28/04/2021 16:00,Kadir Has Stadium,Kayserispor,Denizlispor,
38,28/04/2021 16:00,Yeni Rize Sehir Stadium,Çaykur Rizespor,Besiktas,
38,28/04/2021 16:00,Antakya Atatürk Stadium,Hatayspor,Gençlerbirligi,
38,28/04/2021 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Antalyaspor,
38,28/04/2021 16:00,Gürsel Aksel Stadium,Göztepe,Trabzonspor,
38,28/04/2021 16:00,Bahçesehir Okullari Stadium,Alanyaspor,Fenerbahçe,
39,02/05/2021 16:00,Sükrü Saracoglu Stadium,Fenerbahçe,BB Erzurumspor,
39,02/05/2021 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Ankaragücü,
39,02/05/2021 16:00,Gaziantep Arena,Gaziantep F.K.,Sivasspor,
39,02/05/2021 16:00,Malatya Stadium,Yeni Malatyaspor,Kayserispor,
39,02/05/2021 16:00,Denizli Atatürk Stadium,Denizlispor,Çaykur Rizespor,
39,02/05/2021 16:00,Vodafone Park,Besiktas,Hatayspor,
39,02/05/2021 16:00,Eryaman Stadium,Gençlerbirligi,Galatasaray,
39,02/05/2021 16:00,Konya Büyüksehir Stadium,Konyaspor,Fatih Karagümrük,
39,02/05/2021 16:00,Antalya Stadium,Antalyaspor,Göztepe,
39,02/05/2021 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Alanyaspor,
40,09/05/2021 16:00,Türk Telekom Stadium,Galatasaray,Besiktas,
40,09/05/2021 16:00,Kazim Karabekir Stadium,BB Erzurumspor,Kasimpasa,
40,09/05/2021 16:00,Eryaman Stadium,Ankaragücü,Fenerbahçe,
40,09/05/2021 16:00,4 Eylül Stadium,Sivasspor,Istanbul Basaksehir,
40,09/05/2021 16:00,Kadir Has Stadium,Kayserispor,Gaziantep F.K.,
40,09/05/2021 16:00,Yeni Rize Sehir Stadium,Çaykur Rizespor,Yeni Malatyaspor,
40,09/05/2021 16:00,Antakya Atatürk Stadium,Hatayspor,Denizlispor,
40,09/05/2021 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Gençlerbirligi,
40,09/05/2021 16:00,Gürsel Aksel Stadium,Göztepe,Konyaspor,
40,09/05/2021 16:00,Senol Günes Stadium,Trabzonspor,Antalyaspor,
41,12/05/2021 16:00,Bahçesehir Okullari Stadium,Alanyaspor,BB Erzurumspor,
41,12/05/2021 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Ankaragücü,
41,12/05/2021 16:00,Sükrü Saracoglu Stadium,Fenerbahçe,Sivasspor,
41,12/05/2021 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Kayserispor,
41,12/05/2021 16:00,Gaziantep Arena,Gaziantep F.K.,Çaykur Rizespor,
41,12/05/2021 16:00,Malatya Stadium,Yeni Malatyaspor,Hatayspor,
41,12/05/2021 16:00,Denizli Atatürk Stadium,Denizlispor,Galatasaray,
41,12/05/2021 16:00,Vodafone Park,Besiktas,Fatih Karagümrük,
